ID_COD;ID;X_CAMPUS;X_PERIODO;X_MODALIDAD;PROGRAMA;X_FACULTAD;DESCRIPCION_PROGRAMA;PERIODO_ADMISION;CATALOGO;CICLO_ACTUAL;CREDITOS_TOTAL;CREDITOS_MATRICULADOS;CACHIMBO;CICLO_MUESTRA;REINCORPORADO;TRASLADOS_INTER0S;TRICA_SUNEDU;X_ESTRATO_MUESTRA;RECOMENDACIÓN;REC_TIPO;DETRACTOR;PROMOTOR;SATISF_GEN;SATIF_ACAD;P4_1;P4_1_1;P4_1_2;P4_1_3;P4_1_4;P4_1_5;P4_1_6;P4_1_7;P4_1_8;P4_2;P4_2_1;P4_2_2;P4_3;P4_3_1;P4_3_2;P4_3_3;SATISF_SERV;SATISF_EXP;SATISF_REG_ACAD;SATISF_ACT_SOST;SATISF_APY_LOGRO_ACAD;SATISF_INF_TEC;P21_1;P21_1_1;P21_1_2;P21_2;P21_2_1;P21_2_2;P21_2_3;P21_3;P21_3_1;P21_3_2;P21_3_3;P21_3_4;SATISF_CAMP_VIRT;SATISF_COM_IMAG;P26_1;P26_2;P26_3;P26_4;P26_5;P26_6;P26_7;Facultad;Estrato_Muestra;CAB1;CAB2;CAB3;Campus;Modalidad;Carrera;Factor
21144;10585;CZC;25-Feb;UC-SEMIPRESENCIAL;105;Ingeniería;INGENIERÍA CIVIL;202110;201910;10;207;3;0;5 a más;0;0;0;ING CIVIL;10;1;0;1;4;4;4;4;4;4;4;4;3;5;5;4;4;4;5;5;4;5;4;5;5;5;5;5;5;4;4;5;5;5;4;5;4;5;4;4;5;4;5;5;5;5;5;5;1;Facultad de Ingeniería;Ingeniería Civil;Cusco;UC - Semipresencial;Ingeniería Civil;Cusco;Semipresencial;Ingeniería Civil;1.370520976
21145;36973;HYO;25-Feb;UC-PRESENCIAL;312;Derecho;DERECHO;202110;201910;10;198;21;0;5 a más;0;0;0;DERECHO;9;1;0;1;4;3;3;4;4;4;4;4;4;4;5;4;4;4;4;4;4;4;4;3;3;4;4;3;4;3;3;3;4;3;4;4;4;4;4;3;3;3;5;3;3;4;4;3;4;Facultad de Derecho;Derecho;Huancayo;UC - Presencial;Derecho;Huancayo;Presencial;Derecho;1.738801773
21146;44813;VIR;25-Feb;UC-A DISTANCIA;312;Derecho;DERECHO;202210;202410;2;26;23;0;1 a 4;0;0;0;DERECHO;10;1;0;1;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;Facultad de Derecho;Derecho;;UC - A Distancia;Derecho;Virtual;A Distancia;Derecho;1.408232386
21147;9776;CZC;25-Feb;UC-PRESENCIAL;105;Ingeniería;INGENIERÍA CIVIL;202420;202410;2;40;23;0;1 a 4;0;0;0;ING CIVIL;10;1;0;1;4;4;4;3;5;4;4;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;5;5;5;5;Facultad de Ingeniería;Ingeniería Civil;Cusco;UC - Presencial;Ingeniería Civil;Cusco;Presencial;Ingeniería Civil;2.203472353
21148;44878;VIR;25-Feb;UC-A DISTANCIA;312;Derecho;DERECHO;202320;202410;3;65;21;0;1 a 4;0;0;0;DERECHO;8;0;0;0;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;Facultad de Derecho;Derecho;;UC - A Distancia;Derecho;Virtual;A Distancia;Derecho;1.408232386
21149;45194;VIR;25-Feb;UC-A DISTANCIA;312;Derecho;DERECHO;202310;201910;8;155;24;0;5 a más;0;0;0;DERECHO;10;1;0;1;4;4;4;5;4;5;5;5;5;4;4;4;4;4;5;5;5;5;5;4;4;4;5;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;Facultad de Derecho;Derecho;;UC - A Distancia;Derecho;Virtual;A Distancia;Derecho;1.408232386
21150;6447;HYO;25-Feb;UC-SEMIPRESENCIAL;105;Ingeniería;INGENIERÍA CIVIL;201610;201910;9;187;8;0;5 a más;0;0;0;ING CIVIL;6;-1;1;0;4;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;3;5;4;4;5;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;3;4;4;4;4;4;2;Facultad de Ingeniería;Ingeniería Civil;Huancayo;UC - Semipresencial;Ingeniería Civil;Huancayo;Semipresencial;Ingeniería Civil;1.315482701
21151;28925;HYO;25-Feb;UC-PRESENCIAL;112;Ingeniería;INGENIERÍA MECATRÓNICA;202510;202410;1;0;17;0;1 a 4;1;0;0;INGENIERÍA OTRAS;0;-1;1;0;2;1;1;1;1;1;5;1;1;1;1;3;1;5;3;5;5;1;5;5;3;4;3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;3;4;4;3;4;Facultad de Ingeniería;Ingeniería - Otras;Huancayo;UC - Presencial;Ingeniería - Otras;Huancayo;Presencial;Ingeniería Mecatrónica;3.805115252
21152;29413;HYO;25-Feb;UC-PRESENCIAL;112;Ingeniería;INGENIERÍA MECATRÓNICA;202520;202410;1;3;22;1;1 a 4;0;0;0;INGENIERÍA OTRAS;7;0;0;0;4;4;4;4;4;4;5;5;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;Facultad de Ingeniería;Ingeniería - Otras;Huancayo;UC - Presencial;Ingeniería - Otras;Huancayo;Presencial;Ingeniería Mecatrónica;3.805115252
21153;31683;LIM;25-Feb;UC-SEMIPRESENCIAL;308;Ciencias de la Empresa;ADMINISTRACIÓN;202110;201910;9;188;22;0;5 a más;0;0;0;CIENCIAS DE LA EMPRESA OTROS;9;1;0;1;4;5;5;5;5;5;5;5;5;5;5;4;4;4;5;4;4;4;5;5;5;5;5;3;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;Facultad de Ciencias de la Empresa;Ciencias de la Empresa - Otros;Lima;UC - Semipresencial;Ciencias de la Empresa - Otros;Lima;Semipresencial;Administración;0.211891991
21154;27886;AQP;25-Feb;UC-SEMIPRESENCIAL;111;Ingeniería;INGENIERÍA MECÁNICA;202420;201910;4;81;18;0;1 a 4;0;0;0;INGENIERÍA OTRAS;8;0;0;0;4;3;3;3;3;3;4;4;4;4;4;4;4;3;4;4;4;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;2;Facultad de Ingeniería;Ingeniería - Otras;Arequipa;UC - Semipresencial;Ingeniería - Otras;Arequipa;Semipresencial;Ingeniería Mecánica;1.084872448
21155;16812;VIR;25-Feb;UC-A DISTANCIA;107;Ingeniería;INGENIERÍA AMBIENTAL;202410;202410;3;67;24;0;1 a 4;0;0;0;INGENIERÍA OTRAS;10;1;0;1;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;Facultad de Ingeniería;Ingeniería - Otras;;UC - A Distancia;Ingeniería - Otras;Virtual;A Distancia;Ingeniería Ambiental;1.798208164
21156;39017;AQP;25-Feb;UC-PRESENCIAL;312;Derecho;DERECHO;202310;201910;5;95;22;0;5 a más;0;0;0;DERECHO;0;-1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;Facultad de Derecho;Derecho;Arequipa;UC - Presencial;Derecho;Arequipa;Presencial;Derecho;0.502139316
21157;43835;VIR;25-Feb;UC-A DISTANCIA;312;Derecho;DERECHO;201710;201910;8;153;15;0;5 a más;0;0;0;DERECHO;3;-1;1;0;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;1;2;1;1;2;2;2;1;1;1;1;1;1;1;Facultad de Derecho;Derecho;;UC - A Distancia;Derecho;Virtual;A Distancia;Derecho;1.408232386
21158;43678;VIR;25-Feb;UC-A DISTANCIA;312;Derecho;DERECHO;202210;201910;8;172;23;0;5 a más;0;0;0;DERECHO;10;1;0;1;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;Facultad de Derecho;Derecho;;UC - A Distancia;Derecho;Virtual;A Distancia;Derecho;1.408232386
